accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.025198428952434546e-03,-2.039980852060886522e-03,-9.783337811919809113e+00
8.638256545503548989e-03,-3.556795013491823726e-03,-9.786882658219333564e+00
-1.421749302834997633e-02,6.219926978816412875e-04,-9.797902172000371834e+00
-4.290828924915621092e-04,2.432591943185722239e-03,-9.791630305718401317e+00
8.335696698838426441e-03,1.516156761806798257e-03,-9.799034896935692629e+00
6.547626160531254923e-03,-2.983538311127635363e-03,-9.798175581311095783e+00
-3.651832246347037642e-03,-1.601353754423058117e-03,-9.789677098957561441e+00
2.652513053499861231e-03,-2.980506873094473409e-03,-9.797917676621919369e+00
-3.755168352128435919e-03,-4.255078497098665861e-04,-9.798170800826568438e+00
-4.838411061703998609e-03,-8.152456814184212003e-03,-9.795979308785256023e+00
3.091276058806406365e-03,-4.079803340519585521e-03,-9.799320207320354470e+00
4.031255215012516553e-03,2.560455655072153749e-03,-9.784580346748684931e+00
-5.729794035077950820e-03,-1.771872936296224653e-03,-9.793539775977988526e+00
5.322142753252043397e-03,-1.882958727618696637e-04,-9.789720202389078807e+00
-6.825707531257454129e-03,-1.369205424283768133e-03,-9.795785351015977582e+00
1.791152931905567970e-03,-6.498717349607691963e-03,-9.787577293458532779e+00
1.277266373243203046e-03,7.140493861701528201e-03,-9.800405499390659969e+00
9.035570817944706470e-03,-1.025686214853243085e-05,-9.802721949864807272e+00
-2.006717346926063274e-03,1.577420270521381939e-03,-9.791594586741288353e+00
1.418492269462596047e-03,2.928857702627549880e-03,-9.789812620575304436e+00
2.804851862026380097e-03,1.192935472986861702e-03,-9.791522121737116890e+00
9.140157238555927932e-03,-2.951210279108458252e-03,-9.793403606274125650e+00
7.325558918533748437e-03,-1.622345525403590290e-03,-9.797973149418035987e+00
1.917332408396213222e-03,-3.271195034669436338e-03,-9.797501334996715272e+00
-4.430311609696493957e-03,2.173798585984779153e-03,-9.795592034631624756e+00
6.183140455197560365e-03,5.458186167512657679e-03,-9.796491856276793087e+00
9.437052633180023631e-03,-3.675339099575973024e-03,-9.780079889971824869e+00
2.386107533275219281e-03,3.273075296704942887e-05,-9.786394483682345324e+00
-3.245890998820422178e-03,1.380490908918712706e-02,-9.800317987992558599e+00
2.261248691265207176e-04,8.875299165120644276e-03,-9.793685846988688937e+00
-1.159713951025348987e-02,-9.125364987232856620e-03,-9.790806521808335106e+00
-5.883407517104817519e-03,1.326696499197217672e-03,-9.797312631256231086e+00
2.717382868331264922e-03,3.856602505052852069e-04,-9.793852353654589393e+00
7.336972397411293742e-03,9.374738896053658871e-03,-9.796484401630051408e+00
-6.818170517810997339e-03,-7.544527375642599148e-03,-9.790900268575398968e+00
-1.152193448157720493e-03,-9.768390293923069102e-04,-9.794027557593329547e+00
-1.742452907195981985e-03,4.436548793567998000e-03,-9.802170211745528050e+00
-4.325240731240089474e-03,-8.848514608297600691e-04,-9.783888428283374239e+00
5.678095586285401494e-03,1.690904919817305674e-03,-9.793770398767211560e+00
3.061060288381021750e-03,7.340784311293146363e-04,-9.785715692540701838e+00
-3.516226913972861703e-03,7.807199611568961181e-03,-9.800447889274364499e+00
2.942649514841405491e-03,7.275701706006569482e-04,-9.794516182348290911e+00
-3.633200143378466276e-03,9.207981259113689337e-03,-9.795863338679957621e+00
8.587953721663058905e-04,7.284140898171845638e-03,-9.798100146324005166e+00
8.319110526996133584e-03,-1.272217305636255853e-03,-9.794343683309161719e+00
-5.353714507861014396e-03,1.930428371165106337e-03,-9.798579822077464030e+00
7.058569876636970261e-03,2.675342944173745956e-03,-9.796564826019510619e+00
-2.806122464887733214e-03,-6.023988618955742648e-03,-9.799758263742511133e+00
-6.839210959047204580e-03,1.030790435791930065e-03,-9.796073118582729222e+00
4.437761431837586334e-04,-5.115677068530011425e-03,-9.794493339454682257e+00
-2.572406248460455506e-03,2.381382905013026789e-03,-9.795366611999531514e+00
-5.252531741677382224e-04,-6.155470458285986542e-04,-9.789702866260922676e+00
-6.244580087351018355e-03,9.507575811715792552e-03,-9.785238005450034748e+00
4.909336760402419238e-03,-5.123749699759497234e-03,-9.789658293160954372e+00
-6.104896090597621266e-04,-9.203780969836036080e-03,-9.790220559616788165e+00
1.019291368987547408e-02,3.728431858922137665e-04,-9.795013433385737045e+00
-3.137805085284205500e-03,8.676825008645243364e-03,-9.804218553880026832e+00
5.088209852615799798e-03,-1.740367094556390538e-03,-9.789588021999344747e+00
-7.414055996320724831e-03,-4.074125932828069618e-03,-9.794892348701324636e+00
9.824095405974387490e-03,-6.405202915103704216e-03,-9.796905370551412418e+00
8.743263923058500545e-03,-3.274456379970211786e-03,-9.790842229954426656e+00
-7.256264803701827429e-03,3.867384072579938339e-03,-9.800893527236821612e+00
5.075805876011666058e-04,-4.091597686408361342e-03,-9.799454277497126498e+00
-2.969396787325429259e-03,9.832460566652613618e-04,-9.797449946546676003e+00
1.036765658909179428e-03,-3.948320292675911239e-03,-9.806938262299066622e+00
-2.442485286527515138e-03,8.356167036696797792e-03,-9.801003051093360341e+00
-9.351379376648908184e-03,3.230414056058279141e-03,-9.796943509486974122e+00
-6.557097397833636272e-03,-7.240187506559819623e-03,-9.788329910543382084e+00
-4.688866365452555238e-03,-4.733876677264237673e-04,-9.798418345307595700e+00
4.155780388773393230e-03,-5.490779166121181366e-03,-9.797770229543683485e+00
-6.714382106154731999e-04,-9.999920030042652968e-05,-9.808313448149315050e+00
1.148776859748103230e-03,2.258520971871348561e-03,-9.792828674063546401e+00
-1.731930413098280858e-03,-5.114930571972817316e-05,-9.794088279209940850e+00
-9.752963840995465886e-03,5.543546463914886594e-05,-9.793412131206300941e+00
5.873224376927239226e-03,3.056644218686436760e-04,-9.800842734964517078e+00
-8.411954810738407693e-05,2.322881906453955897e-03,-9.791973174795611357e+00
-3.704573843246130108e-03,-7.716333094274153287e-03,-9.803909798447097756e+00
-6.873551802403323786e-03,6.078127564314106737e-03,-9.794697545291143115e+00
2.872856458071589795e-03,-3.386580107425225111e-03,-9.790251553576299060e+00
-1.072346929412870513e-03,3.510597822606440713e-03,-9.798319272724860696e+00
-2.140341652307477596e-03,-4.236189487887767201e-04,-9.799342079530850569e+00
-1.521263043292179172e-02,1.789184729517133855e-03,-9.791800522322942513e+00
